<<<<<<< HEAD
pos	campo	tipo	nulos	ceros
1	numero_de_cliente	integer	0	0
2	foto_mes	integer	0	0
3	active_quarter	integer	153386	67807
4	cliente_vip	integer	143762	4728637
5	internet	integer	0	2290390
6	cliente_edad	integer	0	87
7	cliente_antiguedad	integer	0	0
8	cproductos	integer	0	0
9	tcuentas	integer	0	0
10	ccuenta_corriente	integer	0	0
11	ccaja_ahorro	integer	0	0
12	cdescubierto_preacordado	integer	0	186934
13	ctarjeta_debito	integer	0	2524
14	ctarjeta_debito_transacciones	integer	153386	1549971
15	ctarjeta_visa	integer	0	225904
16	ctarjeta_visa_transacciones	integer	153386	714248
17	ctarjeta_master	integer	0	558758
18	ctarjeta_master_transacciones	integer	153386	3005593
19	cprestamos_personales	integer	0	3628619
20	cprestamos_prendarios	integer	0	4835015
21	cprestamos_hipotecarios	integer	0	4832321
22	cplazo_fijo	integer	0	4302275
23	cinversion1	integer	0	4712291
24	cinversion2	integer	0	4720249
25	cseguro_vida	integer	0	4177672
26	cseguro_auto	integer	0	4772479
27	cseguro_vivienda	integer	0	4242239
28	cseguro_accidentes_personales	integer	0	4088274
29	ccaja_seguridad	integer	0	4551003
30	cpayroll_trx	integer	0	2373332
31	cpayroll2_trx	integer	0	4884658
32	ccuenta_debitos_automaticos	integer	0	2554449
33	ctarjeta_visa_debitos_automaticos	integer	254742	1660514
34	ctarjeta_master_debitos_automaticos	integer	0	4087041
35	cpagodeservicios	integer	0	4714173
36	cpagomiscuentas	integer	0	2605587
37	ccajeros_propios_descuentos	integer	136515	4585716
38	ctarjeta_visa_descuentos	integer	136515	4472303
39	ctarjeta_master_descuentos	integer	136515	4608827
40	ccomisiones_mantenimiento	integer	0	3337052
41	ccomisiones_otras	integer	417584	128707
42	cforex	integer	0	4124316
43	cforex_buy	integer	0	4780168
44	cforex_sell	integer	0	4211350
45	ctransferencias_recibidas	integer	632040	1279745
46	ctransferencias_emitidas	integer	0	2373892
47	cextraccion_autoservicio	integer	153386	2295638
48	ccheques_depositados	integer	153386	4523251
49	ccheques_emitidos	integer	153386	4589856
50	ccheques_depositados_rechazados	integer	153386	4724217
51	ccheques_emitidos_rechazados	integer	153386	4727093
52	tcallcenter	integer	153386	4142817
53	ccallcenter_transacciones	integer	153386	4142817
54	thomebanking	integer	153386	1158865
55	chomebanking_transacciones	integer	289901	1075702
56	ccajas_transacciones	integer	153386	3906940
57	ccajas_consultas	integer	153386	4403237
58	ccajas_depositos	integer	153386	4447097
59	ccajas_extracciones	integer	153386	4209597
60	ccajas_otras	integer	153386	4604541
61	catm_trx	integer	153386	2699790
